, ,Number of genomes,gene_class
212,Cluster 212,1,accessory
213,Cluster 213,1,accessory
214,Cluster 214,1,accessory
215,Cluster 215,1,accessory
216,Cluster 216,1,accessory
217,Cluster 217,1,accessory
218,Cluster 218,1,accessory
219,Cluster 219,1,accessory
220,Cluster 220,1,accessory
221,Cluster 221,1,accessory
222,Cluster 222,1,accessory
223,Cluster 223,1,accessory
224,Cluster 224,1,accessory
225,Cluster 225,1,accessory
226,Cluster 226,1,accessory
227,Cluster 227,1,accessory
228,Cluster 228,1,accessory
229,Cluster 229,1,accessory
230,Cluster 230,1,accessory
231,Cluster 231,2,accessory
232,Cluster 232,1,accessory
233,Cluster 233,1,accessory
234,Cluster 234,1,accessory
235,Cluster 235,1,accessory
236,Cluster 236,1,accessory
237,Cluster 237,1,accessory
238,Cluster 238,1,accessory
239,Cluster 239,1,accessory
240,Cluster 240,1,accessory
241,Cluster 241,1,accessory
242,Cluster 242,1,accessory
243,Cluster 243,1,accessory
244,Cluster 244,1,accessory
245,Cluster 245,1,accessory
246,Cluster 246,1,accessory
247,Cluster 247,1,accessory
248,Cluster 248,1,accessory
249,Cluster 249,1,accessory
250,Cluster 250,1,accessory
251,Cluster 251,1,accessory
252,Cluster 252,1,accessory
253,Cluster 253,1,accessory
254,Cluster 254,1,accessory
255,Cluster 255,1,accessory
256,Cluster 256,1,accessory
257,Cluster 257,1,accessory
258,Cluster 258,1,accessory
259,Cluster 259,1,accessory
260,Cluster 260,1,accessory
261,Cluster 261,1,accessory
262,Cluster 262,1,accessory
263,Cluster 263,1,accessory
264,Cluster 264,1,accessory
265,Cluster 265,1,accessory
266,Cluster 266,1,accessory
267,Cluster 267,1,accessory
268,Cluster 268,1,accessory
269,Cluster 269,1,accessory
270,Cluster 270,1,accessory
271,Cluster 271,1,accessory
272,Cluster 272,1,accessory
273,Cluster 273,1,accessory
274,Cluster 274,1,accessory
275,Cluster 275,1,accessory
276,Cluster 276,1,accessory
277,Cluster 277,1,accessory
278,Cluster 278,1,accessory
279,Cluster 279,1,accessory
280,Cluster 280,1,accessory
281,Cluster 281,1,accessory
282,Cluster 282,1,accessory
283,Cluster 283,1,accessory
284,Cluster 284,1,accessory
285,Cluster 285,1,accessory
286,Cluster 286,1,accessory
287,Cluster 287,1,accessory
288,Cluster 288,1,accessory
289,Cluster 289,1,accessory
290,Cluster 290,1,accessory
291,Cluster 291,1,accessory
292,Cluster 292,1,accessory
293,Cluster 293,1,accessory
294,Cluster 294,1,accessory
295,Cluster 295,1,accessory
296,Cluster 296,1,accessory
297,Cluster 297,1,accessory
298,Cluster 298,1,accessory
299,Cluster 299,1,accessory
300,Cluster 300,1,accessory
301,Cluster 301,1,accessory
302,Cluster 302,1,accessory
303,Cluster 303,1,accessory
304,Cluster 304,1,accessory
305,Cluster 305,1,accessory
306,Cluster 306,1,accessory
307,Cluster 307,1,accessory
308,Cluster 308,1,accessory
309,Cluster 309,1,accessory
310,Cluster 310,1,accessory
311,Cluster 311,1,accessory
312,Cluster 312,1,accessory
313,Cluster 313,1,accessory
314,Cluster 314,1,accessory
315,Cluster 315,1,accessory
316,Cluster 316,1,accessory
317,Cluster 317,1,accessory
318,Cluster 318,1,accessory
319,Cluster 319,1,accessory
320,Cluster 320,1,accessory
321,Cluster 321,1,accessory
322,Cluster 322,1,accessory
323,Cluster 323,1,accessory
324,Cluster 324,1,accessory
325,Cluster 325,1,accessory
326,Cluster 326,1,accessory
327,Cluster 327,1,accessory
328,Cluster 328,1,accessory
329,Cluster 329,1,accessory
330,Cluster 330,1,accessory
331,Cluster 331,1,accessory
332,Cluster 332,1,accessory
333,Cluster 333,1,accessory
334,Cluster 334,1,accessory
335,Cluster 335,1,accessory
336,Cluster 336,1,accessory
337,Cluster 337,1,accessory
338,Cluster 338,1,accessory
339,Cluster 339,1,accessory
340,Cluster 340,1,accessory
341,Cluster 341,1,accessory
342,Cluster 342,1,accessory
