, ,Number of genomes
290,Cluster 290,1
291,Cluster 291,1
292,Cluster 292,1
293,Cluster 293,1
294,Cluster 294,1
295,Cluster 295,1
296,Cluster 296,1
297,Cluster 297,1
298,Cluster 298,1
299,Cluster 299,1
300,Cluster 300,1
301,Cluster 301,1
302,Cluster 302,1
303,Cluster 303,1
304,Cluster 304,1
305,Cluster 305,1
306,Cluster 306,1
307,Cluster 307,1
308,Cluster 308,1
309,Cluster 309,1
310,Cluster 310,1
311,Cluster 311,1
312,Cluster 312,1
313,Cluster 313,1
314,Cluster 314,1
315,Cluster 315,1
316,Cluster 316,1
317,Cluster 317,1
318,Cluster 318,1
319,Cluster 319,1
320,Cluster 320,1
321,Cluster 321,1
322,Cluster 322,1
323,Cluster 323,1
324,Cluster 324,1
325,Cluster 325,1
326,Cluster 326,1
327,Cluster 327,1
328,Cluster 328,1
329,Cluster 329,1
330,Cluster 330,1
331,Cluster 331,1
332,Cluster 332,1
333,Cluster 333,1
334,Cluster 334,1
335,Cluster 335,1
336,Cluster 336,1
337,Cluster 337,1
338,Cluster 338,1
339,Cluster 339,1
340,Cluster 340,1
341,Cluster 341,1
342,Cluster 342,1
343,Cluster 343,1
344,Cluster 344,1
345,Cluster 345,1
346,Cluster 346,1
347,Cluster 347,1
348,Cluster 348,1
349,Cluster 349,1
350,Cluster 350,1
351,Cluster 351,1
352,Cluster 352,1
353,Cluster 353,1
354,Cluster 354,1
355,Cluster 355,1
356,Cluster 356,1
357,Cluster 357,1
358,Cluster 358,1
359,Cluster 359,1
360,Cluster 360,1
361,Cluster 361,1
362,Cluster 362,1
363,Cluster 363,1
364,Cluster 364,1
365,Cluster 365,1
366,Cluster 366,1
367,Cluster 367,1
368,Cluster 368,1
369,Cluster 369,1
370,Cluster 370,1
371,Cluster 371,1
372,Cluster 372,1
373,Cluster 373,1
374,Cluster 374,2
375,Cluster 375,1
376,Cluster 376,1
377,Cluster 377,1
378,Cluster 378,1
379,Cluster 379,1
380,Cluster 380,1
381,Cluster 381,1
382,Cluster 382,1
383,Cluster 383,1
384,Cluster 384,1
385,Cluster 385,1
386,Cluster 386,1
387,Cluster 387,1
388,Cluster 388,1
389,Cluster 389,1
390,Cluster 390,1
391,Cluster 391,1
392,Cluster 392,1
393,Cluster 393,1
394,Cluster 394,1
395,Cluster 395,1
396,Cluster 396,1
397,Cluster 397,1
398,Cluster 398,1
399,Cluster 399,1
400,Cluster 400,1
401,Cluster 401,1
402,Cluster 402,1
403,Cluster 403,1
404,Cluster 404,1
405,Cluster 405,1
406,Cluster 406,1
407,Cluster 407,1
408,Cluster 408,1
409,Cluster 409,1
410,Cluster 410,1
411,Cluster 411,1
412,Cluster 412,1
413,Cluster 413,1
414,Cluster 414,2
415,Cluster 415,1
416,Cluster 416,1
417,Cluster 417,1
418,Cluster 418,1
419,Cluster 419,1
420,Cluster 420,1
421,Cluster 421,1
422,Cluster 422,1
423,Cluster 423,1
424,Cluster 424,2
425,Cluster 425,1
426,Cluster 426,1
427,Cluster 427,2
428,Cluster 428,1
429,Cluster 429,1
430,Cluster 430,1
431,Cluster 431,1
432,Cluster 432,1
433,Cluster 433,1
434,Cluster 434,1
435,Cluster 435,1
436,Cluster 436,1
437,Cluster 437,1
438,Cluster 438,1
439,Cluster 439,1
440,Cluster 440,1
