, ,Number of genomes
1226,Cluster 1226,1
1227,Cluster 1227,1
1228,Cluster 1228,2
1229,Cluster 1229,1
1230,Cluster 1230,1
1231,Cluster 1231,1
1232,Cluster 1232,1
1233,Cluster 1233,1
1234,Cluster 1234,1
1235,Cluster 1235,1
1236,Cluster 1236,1
1237,Cluster 1237,1
1238,Cluster 1238,1
1239,Cluster 1239,1
1240,Cluster 1240,1
1241,Cluster 1241,1
1242,Cluster 1242,1
1243,Cluster 1243,1
1244,Cluster 1244,1
1245,Cluster 1245,1
1246,Cluster 1246,1
1247,Cluster 1247,1
1248,Cluster 1248,1
1249,Cluster 1249,1
1250,Cluster 1250,1
1251,Cluster 1251,1
1252,Cluster 1252,1
1253,Cluster 1253,1
1254,Cluster 1254,1
1255,Cluster 1255,1
1256,Cluster 1256,1
1257,Cluster 1257,1
1258,Cluster 1258,1
1259,Cluster 1259,1
1260,Cluster 1260,1
1261,Cluster 1261,1
1262,Cluster 1262,1
1263,Cluster 1263,1
1264,Cluster 1264,1
1265,Cluster 1265,1
1266,Cluster 1266,1
1267,Cluster 1267,1
1268,Cluster 1268,1
1269,Cluster 1269,1
1270,Cluster 1270,1
1271,Cluster 1271,1
1272,Cluster 1272,1
1273,Cluster 1273,1
1274,Cluster 1274,1
1275,Cluster 1275,1
1276,Cluster 1276,1
1277,Cluster 1277,1
1278,Cluster 1278,1
1279,Cluster 1279,1
1280,Cluster 1280,1
1281,Cluster 1281,1
1282,Cluster 1282,1
1283,Cluster 1283,1
1284,Cluster 1284,1
1285,Cluster 1285,1
1286,Cluster 1286,1
1287,Cluster 1287,1
1288,Cluster 1288,1
1289,Cluster 1289,1
1290,Cluster 1290,1
1291,Cluster 1291,1
1292,Cluster 1292,1
1293,Cluster 1293,1
1294,Cluster 1294,1
1295,Cluster 1295,1
1296,Cluster 1296,1
1297,Cluster 1297,1
1298,Cluster 1298,1
1299,Cluster 1299,1
1300,Cluster 1300,1
1301,Cluster 1301,1
1302,Cluster 1302,1
1303,Cluster 1303,1
1304,Cluster 1304,1
1305,Cluster 1305,1
1306,Cluster 1306,1
1307,Cluster 1307,1
1308,Cluster 1308,1
1309,Cluster 1309,1
1310,Cluster 1310,1
1311,Cluster 1311,1
1312,Cluster 1312,1
1313,Cluster 1313,1
1314,Cluster 1314,1
1315,Cluster 1315,1
1316,Cluster 1316,1
1317,Cluster 1317,1
1318,Cluster 1318,1
1319,Cluster 1319,1
1320,Cluster 1320,1
1321,Cluster 1321,1
1322,Cluster 1322,1
1323,Cluster 1323,1
1324,Cluster 1324,1
1325,Cluster 1325,1
1326,Cluster 1326,1
1327,Cluster 1327,1
1328,Cluster 1328,1
1329,Cluster 1329,1
1330,Cluster 1330,1
1331,Cluster 1331,1
1332,Cluster 1332,1
1333,Cluster 1333,1
1334,Cluster 1334,1
1335,Cluster 1335,1
1336,Cluster 1336,1
1337,Cluster 1337,1
1338,Cluster 1338,1
1339,Cluster 1339,1
1340,Cluster 1340,1
1341,Cluster 1341,1
1342,Cluster 1342,1
1343,Cluster 1343,1
1344,Cluster 1344,1
1345,Cluster 1345,1
1346,Cluster 1346,1
1347,Cluster 1347,1
1348,Cluster 1348,1
1349,Cluster 1349,1
1350,Cluster 1350,1
1351,Cluster 1351,1
1352,Cluster 1352,1
1353,Cluster 1353,1
1354,Cluster 1354,1
1355,Cluster 1355,1
1356,Cluster 1356,1
1357,Cluster 1357,1
1358,Cluster 1358,1
1359,Cluster 1359,1
1360,Cluster 1360,1
1361,Cluster 1361,1
1362,Cluster 1362,1
1363,Cluster 1363,1
1364,Cluster 1364,1
1365,Cluster 1365,1
1366,Cluster 1366,1
1367,Cluster 1367,1
1368,Cluster 1368,1
1369,Cluster 1369,1
1370,Cluster 1370,1
1371,Cluster 1371,1
1372,Cluster 1372,1
1373,Cluster 1373,1
1374,Cluster 1374,1
1375,Cluster 1375,1
1376,Cluster 1376,1
1377,Cluster 1377,1
1378,Cluster 1378,1
1379,Cluster 1379,1
1380,Cluster 1380,1
1381,Cluster 1381,1
1382,Cluster 1382,1
1383,Cluster 1383,1
1384,Cluster 1384,1
1385,Cluster 1385,1
1386,Cluster 1386,1
1387,Cluster 1387,1
1388,Cluster 1388,1
1389,Cluster 1389,1
1390,Cluster 1390,1
1391,Cluster 1391,2
1392,Cluster 1392,1
1393,Cluster 1393,1
1394,Cluster 1394,1
1395,Cluster 1395,1
1396,Cluster 1396,1
1397,Cluster 1397,1
1398,Cluster 1398,1
1399,Cluster 1399,1
1400,Cluster 1400,1
1401,Cluster 1401,1
1402,Cluster 1402,1
1403,Cluster 1403,1
1404,Cluster 1404,1
1405,Cluster 1405,1
1406,Cluster 1406,1
1407,Cluster 1407,1
1408,Cluster 1408,1
1409,Cluster 1409,1
1410,Cluster 1410,1
1411,Cluster 1411,1
1412,Cluster 1412,1
1413,Cluster 1413,1
1414,Cluster 1414,1
1415,Cluster 1415,1
1416,Cluster 1416,1
1417,Cluster 1417,1
1418,Cluster 1418,1
1419,Cluster 1419,1
1420,Cluster 1420,1
1421,Cluster 1421,1
1422,Cluster 1422,1
1423,Cluster 1423,1
1424,Cluster 1424,1
1425,Cluster 1425,1
1426,Cluster 1426,1
1427,Cluster 1427,1
1428,Cluster 1428,1
1429,Cluster 1429,1
1430,Cluster 1430,1
1431,Cluster 1431,1
1432,Cluster 1432,1
1433,Cluster 1433,1
1434,Cluster 1434,1
1435,Cluster 1435,1
1436,Cluster 1436,1
1437,Cluster 1437,1
1438,Cluster 1438,1
1439,Cluster 1439,1
1440,Cluster 1440,1
1441,Cluster 1441,1
1442,Cluster 1442,1
1443,Cluster 1443,1
1444,Cluster 1444,1
1445,Cluster 1445,1
1446,Cluster 1446,1
1447,Cluster 1447,1
1448,Cluster 1448,1
1449,Cluster 1449,1
1450,Cluster 1450,1
1451,Cluster 1451,1
1452,Cluster 1452,1
1453,Cluster 1453,1
1454,Cluster 1454,1
1455,Cluster 1455,1
1456,Cluster 1456,1
1457,Cluster 1457,1
1458,Cluster 1458,2
1459,Cluster 1459,1
1460,Cluster 1460,1
1461,Cluster 1461,1
1462,Cluster 1462,1
1463,Cluster 1463,1
1464,Cluster 1464,1
1465,Cluster 1465,1
1466,Cluster 1466,1
1467,Cluster 1467,1
1468,Cluster 1468,1
1469,Cluster 1469,1
1470,Cluster 1470,1
1471,Cluster 1471,1
1472,Cluster 1472,1
1473,Cluster 1473,1
1474,Cluster 1474,1
1475,Cluster 1475,1
1476,Cluster 1476,1
1477,Cluster 1477,1
1478,Cluster 1478,1
1479,Cluster 1479,1
1480,Cluster 1480,1
1481,Cluster 1481,1
1482,Cluster 1482,1
1483,Cluster 1483,1
1484,Cluster 1484,1
1485,Cluster 1485,1
1486,Cluster 1486,1
1487,Cluster 1487,1
1488,Cluster 1488,1
1489,Cluster 1489,1
1490,Cluster 1490,1
1491,Cluster 1491,1
1492,Cluster 1492,1
1493,Cluster 1493,1
1494,Cluster 1494,1
1495,Cluster 1495,1
1496,Cluster 1496,1
1497,Cluster 1497,1
1498,Cluster 1498,1
1499,Cluster 1499,1
1500,Cluster 1500,1
1501,Cluster 1501,1
1502,Cluster 1502,1
1503,Cluster 1503,1
1504,Cluster 1504,1
1505,Cluster 1505,2
1506,Cluster 1506,1
1507,Cluster 1507,1
1508,Cluster 1508,1
1509,Cluster 1509,1
1510,Cluster 1510,1
1511,Cluster 1511,1
1512,Cluster 1512,1
1513,Cluster 1513,1
1514,Cluster 1514,1
1515,Cluster 1515,1
1516,Cluster 1516,1
1517,Cluster 1517,1
1518,Cluster 1518,1
1519,Cluster 1519,1
1520,Cluster 1520,1
1521,Cluster 1521,1
1522,Cluster 1522,1
1523,Cluster 1523,1
1524,Cluster 1524,1
1525,Cluster 1525,1
1526,Cluster 1526,1
1527,Cluster 1527,1
1528,Cluster 1528,1
1529,Cluster 1529,1
1530,Cluster 1530,1
1531,Cluster 1531,1
1532,Cluster 1532,1
1533,Cluster 1533,1
1534,Cluster 1534,1
1535,Cluster 1535,1
1536,Cluster 1536,1
1537,Cluster 1537,1
1538,Cluster 1538,1
1539,Cluster 1539,1
1540,Cluster 1540,1
1541,Cluster 1541,1
1542,Cluster 1542,1
1543,Cluster 1543,1
1544,Cluster 1544,1
1545,Cluster 1545,1
1546,Cluster 1546,1
1547,Cluster 1547,1
1548,Cluster 1548,1
1549,Cluster 1549,1
1550,Cluster 1550,1
1551,Cluster 1551,1
1552,Cluster 1552,1
1553,Cluster 1553,1
1554,Cluster 1554,1
1555,Cluster 1555,1
1556,Cluster 1556,1
1557,Cluster 1557,1
1558,Cluster 1558,1
1559,Cluster 1559,1
1560,Cluster 1560,1
1561,Cluster 1561,1
1562,Cluster 1562,1
1563,Cluster 1563,1
1564,Cluster 1564,1
1565,Cluster 1565,1
1566,Cluster 1566,1
1567,Cluster 1567,1
1568,Cluster 1568,1
1569,Cluster 1569,1
1570,Cluster 1570,1
1571,Cluster 1571,1
1572,Cluster 1572,1
1573,Cluster 1573,1
1574,Cluster 1574,1
1575,Cluster 1575,1
1576,Cluster 1576,1
1577,Cluster 1577,1
1578,Cluster 1578,1
1579,Cluster 1579,1
1580,Cluster 1580,1
1581,Cluster 1581,1
1582,Cluster 1582,1
1583,Cluster 1583,1
1584,Cluster 1584,1
1585,Cluster 1585,1
1586,Cluster 1586,1
1587,Cluster 1587,1
1588,Cluster 1588,1
1589,Cluster 1589,1
1590,Cluster 1590,1
1591,Cluster 1591,1
1592,Cluster 1592,1
1593,Cluster 1593,1
1594,Cluster 1594,1
1595,Cluster 1595,1
1596,Cluster 1596,1
1597,Cluster 1597,1
1598,Cluster 1598,1
1599,Cluster 1599,1
1600,Cluster 1600,1
1601,Cluster 1601,1
1602,Cluster 1602,1
1603,Cluster 1603,1
1604,Cluster 1604,1
1605,Cluster 1605,1
1606,Cluster 1606,1
1607,Cluster 1607,1
1608,Cluster 1608,1
1609,Cluster 1609,1
1610,Cluster 1610,1
1611,Cluster 1611,1
1612,Cluster 1612,1
1613,Cluster 1613,1
1614,Cluster 1614,1
1615,Cluster 1615,1
1616,Cluster 1616,1
1617,Cluster 1617,1
1618,Cluster 1618,1
1619,Cluster 1619,1
1620,Cluster 1620,1
1621,Cluster 1621,1
1622,Cluster 1622,1
1623,Cluster 1623,1
1624,Cluster 1624,1
1625,Cluster 1625,1
1626,Cluster 1626,1
1627,Cluster 1627,1
1628,Cluster 1628,1
1629,Cluster 1629,1
1630,Cluster 1630,1
1631,Cluster 1631,1
1632,Cluster 1632,1
1633,Cluster 1633,1
1634,Cluster 1634,1
1635,Cluster 1635,1
1636,Cluster 1636,1
1637,Cluster 1637,1
1638,Cluster 1638,1
1639,Cluster 1639,1
1640,Cluster 1640,1
1641,Cluster 1641,1
1642,Cluster 1642,1
1643,Cluster 1643,1
1644,Cluster 1644,1
1645,Cluster 1645,1
1646,Cluster 1646,1
1647,Cluster 1647,1
1648,Cluster 1648,1
1649,Cluster 1649,1
1650,Cluster 1650,1
1651,Cluster 1651,1
1652,Cluster 1652,1
1653,Cluster 1653,1
1654,Cluster 1654,1
1655,Cluster 1655,1
1656,Cluster 1656,1
1657,Cluster 1657,1
1658,Cluster 1658,1
1659,Cluster 1659,1
1660,Cluster 1660,1
1661,Cluster 1661,1
1662,Cluster 1662,1
1663,Cluster 1663,1
1664,Cluster 1664,1
1665,Cluster 1665,1
1666,Cluster 1666,1
1667,Cluster 1667,1
1668,Cluster 1668,1
1669,Cluster 1669,1
1670,Cluster 1670,1
1671,Cluster 1671,1
1672,Cluster 1672,1
1673,Cluster 1673,1
1674,Cluster 1674,1
1675,Cluster 1675,1
1676,Cluster 1676,1
1677,Cluster 1677,1
1678,Cluster 1678,1
1679,Cluster 1679,1
1680,Cluster 1680,1
1681,Cluster 1681,1
1682,Cluster 1682,1
1683,Cluster 1683,1
1684,Cluster 1684,1
1685,Cluster 1685,1
1686,Cluster 1686,1
1687,Cluster 1687,1
1688,Cluster 1688,1
1689,Cluster 1689,1
1690,Cluster 1690,1
1691,Cluster 1691,1
1692,Cluster 1692,1
1693,Cluster 1693,1
1694,Cluster 1694,1
1695,Cluster 1695,1
1696,Cluster 1696,1
1697,Cluster 1697,1
1698,Cluster 1698,1
1699,Cluster 1699,1
1700,Cluster 1700,1
1701,Cluster 1701,1
1702,Cluster 1702,1
1703,Cluster 1703,1
1704,Cluster 1704,1
1705,Cluster 1705,1
1706,Cluster 1706,1
1707,Cluster 1707,1
1708,Cluster 1708,1
1709,Cluster 1709,1
1710,Cluster 1710,1
1711,Cluster 1711,1
1712,Cluster 1712,1
1713,Cluster 1713,1
1714,Cluster 1714,1
1715,Cluster 1715,1
1716,Cluster 1716,1
1717,Cluster 1717,1
1718,Cluster 1718,1
1719,Cluster 1719,1
1720,Cluster 1720,1
1721,Cluster 1721,1
1722,Cluster 1722,1
1723,Cluster 1723,1
1724,Cluster 1724,1
1725,Cluster 1725,1
1726,Cluster 1726,1
1727,Cluster 1727,1
1728,Cluster 1728,1
1729,Cluster 1729,1
1730,Cluster 1730,1
1731,Cluster 1731,1
1732,Cluster 1732,1
1733,Cluster 1733,1
1734,Cluster 1734,1
1735,Cluster 1735,1
1736,Cluster 1736,1
1737,Cluster 1737,1
1738,Cluster 1738,1
1739,Cluster 1739,1
1740,Cluster 1740,1
1741,Cluster 1741,1
1742,Cluster 1742,1
1743,Cluster 1743,1
1744,Cluster 1744,1
1745,Cluster 1745,1
1746,Cluster 1746,1
1747,Cluster 1747,1
1748,Cluster 1748,1
1749,Cluster 1749,1
1750,Cluster 1750,1
1751,Cluster 1751,1
1752,Cluster 1752,1
1753,Cluster 1753,1
1754,Cluster 1754,1
1755,Cluster 1755,1
1756,Cluster 1756,2
1757,Cluster 1757,1
1758,Cluster 1758,1
1759,Cluster 1759,1
1760,Cluster 1760,1
1761,Cluster 1761,1
1762,Cluster 1762,1
1763,Cluster 1763,1
1764,Cluster 1764,1
1765,Cluster 1765,1
1766,Cluster 1766,1
1767,Cluster 1767,1
1768,Cluster 1768,1
1769,Cluster 1769,1
1770,Cluster 1770,1
1771,Cluster 1771,1
1772,Cluster 1772,1
1773,Cluster 1773,1
1774,Cluster 1774,1
1775,Cluster 1775,1
1776,Cluster 1776,1
1777,Cluster 1777,1
1778,Cluster 1778,1
1779,Cluster 1779,1
1780,Cluster 1780,1
1781,Cluster 1781,1
1782,Cluster 1782,1
1783,Cluster 1783,1
1784,Cluster 1784,1
1785,Cluster 1785,1
1786,Cluster 1786,1
1787,Cluster 1787,1
1788,Cluster 1788,1
1789,Cluster 1789,1
1790,Cluster 1790,1
1791,Cluster 1791,1
1792,Cluster 1792,1
1793,Cluster 1793,1
1794,Cluster 1794,1
1795,Cluster 1795,1
1796,Cluster 1796,1
1797,Cluster 1797,1
1798,Cluster 1798,1
1799,Cluster 1799,1
1800,Cluster 1800,1
1801,Cluster 1801,1
1802,Cluster 1802,1
1803,Cluster 1803,1
1804,Cluster 1804,1
1805,Cluster 1805,1
1806,Cluster 1806,1
1807,Cluster 1807,1
1808,Cluster 1808,1
1809,Cluster 1809,1
1810,Cluster 1810,1
1811,Cluster 1811,1
1812,Cluster 1812,1
1813,Cluster 1813,1
1814,Cluster 1814,1
1815,Cluster 1815,1
1816,Cluster 1816,1
1817,Cluster 1817,1
1818,Cluster 1818,1
1819,Cluster 1819,1
1820,Cluster 1820,1
1821,Cluster 1821,1
1822,Cluster 1822,1
1823,Cluster 1823,1
1824,Cluster 1824,1
1825,Cluster 1825,1
1826,Cluster 1826,1
1827,Cluster 1827,1
1828,Cluster 1828,1
1829,Cluster 1829,1
1830,Cluster 1830,1
1831,Cluster 1831,1
1832,Cluster 1832,1
1833,Cluster 1833,1
1834,Cluster 1834,1
1835,Cluster 1835,1
1836,Cluster 1836,1
1837,Cluster 1837,1
1838,Cluster 1838,1
1839,Cluster 1839,1
1840,Cluster 1840,1
1841,Cluster 1841,1
1842,Cluster 1842,1
1843,Cluster 1843,1
1844,Cluster 1844,1
1845,Cluster 1845,1
1846,Cluster 1846,1
1847,Cluster 1847,1
1848,Cluster 1848,1
1849,Cluster 1849,1
1850,Cluster 1850,1
1851,Cluster 1851,1
1852,Cluster 1852,1
1853,Cluster 1853,1
1854,Cluster 1854,1
1855,Cluster 1855,1
1856,Cluster 1856,1
1857,Cluster 1857,1
1858,Cluster 1858,1
1859,Cluster 1859,1
1860,Cluster 1860,1
1861,Cluster 1861,1
1862,Cluster 1862,1
1863,Cluster 1863,1
1864,Cluster 1864,1
1865,Cluster 1865,1
1866,Cluster 1866,1
1867,Cluster 1867,1
1868,Cluster 1868,1
1869,Cluster 1869,1
1870,Cluster 1870,1
1871,Cluster 1871,1
1872,Cluster 1872,1
1873,Cluster 1873,1
1874,Cluster 1874,1
1875,Cluster 1875,1
1876,Cluster 1876,1
1877,Cluster 1877,1
1878,Cluster 1878,1
1879,Cluster 1879,1
1880,Cluster 1880,1
1881,Cluster 1881,1
1882,Cluster 1882,1
1883,Cluster 1883,1
1884,Cluster 1884,1
1885,Cluster 1885,1
1886,Cluster 1886,1
1887,Cluster 1887,1
1888,Cluster 1888,1
1889,Cluster 1889,1
1890,Cluster 1890,1
1891,Cluster 1891,1
1892,Cluster 1892,1
1893,Cluster 1893,1
1894,Cluster 1894,1
1895,Cluster 1895,1
1896,Cluster 1896,1
1897,Cluster 1897,1
1898,Cluster 1898,1
1899,Cluster 1899,1
1900,Cluster 1900,1
1901,Cluster 1901,1
1902,Cluster 1902,1
1903,Cluster 1903,1
1904,Cluster 1904,1
1905,Cluster 1905,1
1906,Cluster 1906,1
1907,Cluster 1907,1
1908,Cluster 1908,1
1909,Cluster 1909,1
1910,Cluster 1910,1
1911,Cluster 1911,1
1912,Cluster 1912,1
1913,Cluster 1913,1
1914,Cluster 1914,1
1915,Cluster 1915,1
1916,Cluster 1916,1
1917,Cluster 1917,1
1918,Cluster 1918,1
1919,Cluster 1919,1
1920,Cluster 1920,1
1921,Cluster 1921,1
1922,Cluster 1922,1
1923,Cluster 1923,1
1924,Cluster 1924,1
1925,Cluster 1925,1
1926,Cluster 1926,1
1927,Cluster 1927,1
1928,Cluster 1928,1
1929,Cluster 1929,1
1930,Cluster 1930,1
1931,Cluster 1931,1
1932,Cluster 1932,1
1933,Cluster 1933,1
1934,Cluster 1934,1
1935,Cluster 1935,1
1936,Cluster 1936,1
1937,Cluster 1937,1
1938,Cluster 1938,1
1939,Cluster 1939,1
1940,Cluster 1940,1
1941,Cluster 1941,1
1942,Cluster 1942,1
1943,Cluster 1943,1
1944,Cluster 1944,1
1945,Cluster 1945,1
1946,Cluster 1946,1
1947,Cluster 1947,1
1948,Cluster 1948,1
1949,Cluster 1949,1
1950,Cluster 1950,1
1951,Cluster 1951,1
1952,Cluster 1952,1
1953,Cluster 1953,1
1954,Cluster 1954,1
1955,Cluster 1955,1
1956,Cluster 1956,1
1957,Cluster 1957,1
1958,Cluster 1958,1
1959,Cluster 1959,1
1960,Cluster 1960,1
1961,Cluster 1961,1
1962,Cluster 1962,1
1963,Cluster 1963,1
1964,Cluster 1964,1
1965,Cluster 1965,1
1966,Cluster 1966,1
1967,Cluster 1967,1
1968,Cluster 1968,1
1969,Cluster 1969,1
1970,Cluster 1970,1
1971,Cluster 1971,1
1972,Cluster 1972,1
1973,Cluster 1973,1
1974,Cluster 1974,1
1975,Cluster 1975,1
1976,Cluster 1976,1
1977,Cluster 1977,1
1978,Cluster 1978,1
1979,Cluster 1979,1
1980,Cluster 1980,2
1981,Cluster 1981,1
1982,Cluster 1982,1
1983,Cluster 1983,1
1984,Cluster 1984,1
1985,Cluster 1985,1
1986,Cluster 1986,1
1987,Cluster 1987,1
1988,Cluster 1988,1
1989,Cluster 1989,1
1990,Cluster 1990,1
1991,Cluster 1991,1
1992,Cluster 1992,1
1993,Cluster 1993,1
1994,Cluster 1994,1
1995,Cluster 1995,1
1996,Cluster 1996,1
1997,Cluster 1997,1
1998,Cluster 1998,1
1999,Cluster 1999,1
2000,Cluster 2000,1
2001,Cluster 2001,1
2002,Cluster 2002,1
2003,Cluster 2003,1
2004,Cluster 2004,1
2005,Cluster 2005,1
2006,Cluster 2006,1
2007,Cluster 2007,1
2008,Cluster 2008,1
2009,Cluster 2009,1
2010,Cluster 2010,1
2011,Cluster 2011,1
2012,Cluster 2012,1
2013,Cluster 2013,1
2014,Cluster 2014,1
2015,Cluster 2015,1
2016,Cluster 2016,1
2017,Cluster 2017,1
2018,Cluster 2018,1
2019,Cluster 2019,1
2020,Cluster 2020,1
2021,Cluster 2021,1
2022,Cluster 2022,1
2023,Cluster 2023,1
2024,Cluster 2024,1
2025,Cluster 2025,1
2026,Cluster 2026,1
2027,Cluster 2027,1
2028,Cluster 2028,1
2029,Cluster 2029,1
2030,Cluster 2030,1
2031,Cluster 2031,1
2032,Cluster 2032,1
2033,Cluster 2033,1
2034,Cluster 2034,1
2035,Cluster 2035,1
2036,Cluster 2036,1
2037,Cluster 2037,1
2038,Cluster 2038,1
2039,Cluster 2039,1
2040,Cluster 2040,1
2041,Cluster 2041,1
2042,Cluster 2042,1
2043,Cluster 2043,1
2044,Cluster 2044,1
2045,Cluster 2045,1
2046,Cluster 2046,1
2047,Cluster 2047,1
2048,Cluster 2048,1
2049,Cluster 2049,1
2050,Cluster 2050,1
2051,Cluster 2051,1
2052,Cluster 2052,1
2053,Cluster 2053,1
2054,Cluster 2054,1
2055,Cluster 2055,1
2056,Cluster 2056,1
2057,Cluster 2057,1
2058,Cluster 2058,1
2059,Cluster 2059,1
2060,Cluster 2060,1
2061,Cluster 2061,1
2062,Cluster 2062,1
2063,Cluster 2063,1
2064,Cluster 2064,1
2065,Cluster 2065,1
2066,Cluster 2066,1
2067,Cluster 2067,1
2068,Cluster 2068,1
2069,Cluster 2069,1
2070,Cluster 2070,1
2071,Cluster 2071,1
2072,Cluster 2072,1
2073,Cluster 2073,1
2074,Cluster 2074,1
2075,Cluster 2075,1
2076,Cluster 2076,1
2077,Cluster 2077,1
2078,Cluster 2078,1
2079,Cluster 2079,1
2080,Cluster 2080,2
2081,Cluster 2081,1
2082,Cluster 2082,1
2083,Cluster 2083,1
2084,Cluster 2084,1
2085,Cluster 2085,1
2086,Cluster 2086,1
2087,Cluster 2087,1
2088,Cluster 2088,1
2089,Cluster 2089,1
2090,Cluster 2090,1
2091,Cluster 2091,1
2092,Cluster 2092,1
2093,Cluster 2093,1
2094,Cluster 2094,1
2095,Cluster 2095,1
2096,Cluster 2096,1
2097,Cluster 2097,1
2098,Cluster 2098,1
2099,Cluster 2099,1
2100,Cluster 2100,1
2101,Cluster 2101,1
2102,Cluster 2102,1
2103,Cluster 2103,1
2104,Cluster 2104,1
2105,Cluster 2105,1
2106,Cluster 2106,1
2107,Cluster 2107,1
2108,Cluster 2108,1
2109,Cluster 2109,1
2110,Cluster 2110,1
2111,Cluster 2111,1
2112,Cluster 2112,1
2113,Cluster 2113,1
2114,Cluster 2114,1
2115,Cluster 2115,1
2116,Cluster 2116,1
2117,Cluster 2117,1
2118,Cluster 2118,1
2119,Cluster 2119,1
2120,Cluster 2120,1
2121,Cluster 2121,1
2122,Cluster 2122,1
2123,Cluster 2123,1
2124,Cluster 2124,1
2125,Cluster 2125,1
2126,Cluster 2126,1
2127,Cluster 2127,1
2128,Cluster 2128,1
2129,Cluster 2129,1
2130,Cluster 2130,1
2131,Cluster 2131,1
2132,Cluster 2132,1
2133,Cluster 2133,1
2134,Cluster 2134,1
2135,Cluster 2135,1
2136,Cluster 2136,1
2137,Cluster 2137,1
2138,Cluster 2138,1
2139,Cluster 2139,1
2140,Cluster 2140,1
2141,Cluster 2141,1
2142,Cluster 2142,1
2143,Cluster 2143,1
2144,Cluster 2144,1
2145,Cluster 2145,1
2146,Cluster 2146,1
2147,Cluster 2147,1
2148,Cluster 2148,1
2149,Cluster 2149,1
2150,Cluster 2150,1
2151,Cluster 2151,1
2152,Cluster 2152,1
2153,Cluster 2153,1
2154,Cluster 2154,1
2155,Cluster 2155,1
2156,Cluster 2156,1
2157,Cluster 2157,1
2158,Cluster 2158,1
2159,Cluster 2159,1
2160,Cluster 2160,1
2161,Cluster 2161,1
2162,Cluster 2162,1
2163,Cluster 2163,1
2164,Cluster 2164,1
2165,Cluster 2165,1
2166,Cluster 2166,1
2167,Cluster 2167,1
2168,Cluster 2168,1
2169,Cluster 2169,1
2170,Cluster 2170,1
2171,Cluster 2171,1
2172,Cluster 2172,1
2173,Cluster 2173,1
2174,Cluster 2174,1
2175,Cluster 2175,1
2176,Cluster 2176,1
2177,Cluster 2177,1
2178,Cluster 2178,1
2179,Cluster 2179,1
2180,Cluster 2180,1
2181,Cluster 2181,1
2182,Cluster 2182,1
2183,Cluster 2183,1
2184,Cluster 2184,1
2185,Cluster 2185,1
2186,Cluster 2186,1
2187,Cluster 2187,1
2188,Cluster 2188,1
2189,Cluster 2189,1
2190,Cluster 2190,1
2191,Cluster 2191,1
2192,Cluster 2192,1
2193,Cluster 2193,1
2194,Cluster 2194,1
2195,Cluster 2195,1
2196,Cluster 2196,1
2197,Cluster 2197,1
2198,Cluster 2198,1
2199,Cluster 2199,1
2200,Cluster 2200,1
2201,Cluster 2201,1
2202,Cluster 2202,1
2203,Cluster 2203,1
2204,Cluster 2204,1
2205,Cluster 2205,1
2206,Cluster 2206,1
2207,Cluster 2207,1
2208,Cluster 2208,1
2209,Cluster 2209,1
2210,Cluster 2210,1
2211,Cluster 2211,1
2212,Cluster 2212,1
2213,Cluster 2213,1
2214,Cluster 2214,1
2215,Cluster 2215,1
2216,Cluster 2216,1
2217,Cluster 2217,1
2218,Cluster 2218,1
2219,Cluster 2219,1
2220,Cluster 2220,1
2221,Cluster 2221,1
2222,Cluster 2222,1
2223,Cluster 2223,1
2224,Cluster 2224,1
2225,Cluster 2225,1
2226,Cluster 2226,1
2227,Cluster 2227,1
2228,Cluster 2228,2
2229,Cluster 2229,1
2230,Cluster 2230,1
2231,Cluster 2231,1
2232,Cluster 2232,1
2233,Cluster 2233,1
2234,Cluster 2234,1
2235,Cluster 2235,1
2236,Cluster 2236,1
2237,Cluster 2237,1
2238,Cluster 2238,1
2239,Cluster 2239,1
2240,Cluster 2240,1
2241,Cluster 2241,1
2242,Cluster 2242,1
2243,Cluster 2243,1
2244,Cluster 2244,1
2245,Cluster 2245,1
2246,Cluster 2246,1
2247,Cluster 2247,1
2248,Cluster 2248,1
2249,Cluster 2249,1
2250,Cluster 2250,1
2251,Cluster 2251,1
2252,Cluster 2252,1
2253,Cluster 2253,1
2254,Cluster 2254,1
2255,Cluster 2255,1
2256,Cluster 2256,1
2257,Cluster 2257,1
2258,Cluster 2258,1
2259,Cluster 2259,1
2260,Cluster 2260,1
2261,Cluster 2261,1
2262,Cluster 2262,1
2263,Cluster 2263,1
2264,Cluster 2264,1
2265,Cluster 2265,1
2266,Cluster 2266,1
2267,Cluster 2267,1
2268,Cluster 2268,1
2269,Cluster 2269,1
2270,Cluster 2270,1
2271,Cluster 2271,2
2272,Cluster 2272,1
2273,Cluster 2273,1
2274,Cluster 2274,1
2275,Cluster 2275,1
2276,Cluster 2276,1
2277,Cluster 2277,1
2278,Cluster 2278,1
2279,Cluster 2279,1
2280,Cluster 2280,1
2281,Cluster 2281,1
2282,Cluster 2282,1
2283,Cluster 2283,1
2284,Cluster 2284,1
2285,Cluster 2285,1
2286,Cluster 2286,1
2287,Cluster 2287,1
2288,Cluster 2288,1
2289,Cluster 2289,1
2290,Cluster 2290,1
2291,Cluster 2291,1
2292,Cluster 2292,1
2293,Cluster 2293,1
2294,Cluster 2294,1
2295,Cluster 2295,1
2296,Cluster 2296,1
2297,Cluster 2297,1
2298,Cluster 2298,1
2299,Cluster 2299,1
2300,Cluster 2300,1
2301,Cluster 2301,1
